segment_dimension,segment_value,treatment,n_control,n_treatment,control_conversion,treatment_conversion,conversion_lift,conversion_p_value,control_spend,treatment_spend,spend_lift,spend_p_value,visit_lift,visit_p_value,policy,incremental_conversions_per_100k,incremental_spend_per_100k,spend_sig_bh
history_segment,"7) $1,000 +",Womens E-Mail,416,428,0.014423076923076924,0.02570093457943925,0.011277857656362328,0.243624631779233,2.169807692307692,4.676588785046729,2.5067810927390366,0.26726741137737775,0.05376078360891445,0.04792268614013051,retest,1127.7857656362328,250678.10927390365,False
history_segment,"7) $1,000 +",Mens E-Mail,416,464,0.014423076923076924,0.023706896551724137,0.009283819628647213,0.3178188284221224,2.169807692307692,3.491875,1.3220673076923077,0.4940488285106426,0.09706564986737401,0.00048796833639008774,retest,928.3819628647212,132206.73076923078,False
history_segment,"6) $750 - $1,000",Womens E-Mail,622,593,0.00482315112540193,0.013490725126475547,0.008667574001073618,0.11084535117419425,0.3495337620578778,0.9977908937605398,0.648257131702662,0.18850270521198711,0.05476540344750924,0.013213638679700379,retest,866.7574001073617,64825.71317026619,False
zip_code,Rural,Womens E-Mail,3139,3181,0.00828289264096846,0.011631562401760453,0.003348669760791992,0.18029530100656066,0.7671360305829882,1.2819773656082991,0.5148413350253109,0.11174847457671432,0.02909487971097907,0.0019892020093237317,retest,334.8669760791992,51484.13350253109,False
category_history,Mens only,Womens E-Mail,9638,9622,0.005499066196306288,0.006131781334441904,0.0006327151381356165,0.5636558018878808,0.6954264370201286,0.9737809187279153,0.27835448170778665,0.17466809037325368,0.011078467244666393,0.012279129583741,retest,63.27151381356165,27835.448170778665,False
channel,Phone,Womens E-Mail,9327,9454,0.005360780529645117,0.00708694732388407,0.0017261667942389536,0.13277958911139298,0.6444526643079233,0.8769261688174317,0.23247350450950843,0.19511804469875182,0.044629773745575654,0.0,retest,172.61667942389536,23247.350450950842,False
category_history,Both mens and womens,Womens E-Mail,2149,2118,0.009306654257794323,0.014636449480642116,0.005329795222847792,0.10919221343017615,1.1801442531409958,1.342025495750708,0.16188124260971226,0.7449367530442483,0.07110340975950782,1.6547844872150108e-08,retest,532.9795222847793,16188.124260971226,False
customer_type,Existing,Womens E-Mail,10611,10624,0.007727829610781264,0.008659638554216868,0.0009318089434356032,0.4513810410852428,0.9353501083780982,1.0493072289156626,0.11395712053756446,0.566283855681472,0.040122507630181464,4.440892098500626e-16,retest,93.18089434356033,11395.712053756446,False
history_segment,4) $350 - $500,Womens E-Mail,2124,2188,0.011299435028248588,0.009140767824497258,-0.0021586672037513296,0.48071090141112816,1.0102683615819208,0.9093784277879342,-0.10088993379398659,0.7966475558048797,0.040396685223630324,0.00042362245604454785,suppress,-215.86672037513296,-10088.993379398658,False
history_segment,3) $200 - $350,Womens E-Mail,4044,4155,0.006923837784371909,0.006257521058965102,-0.0006663167254068068,0.709211727681355,0.9328808110781406,0.6097400722021661,-0.3231407388759745,0.26449270931101176,0.036094834081422056,3.394322100724878e-06,suppress,-66.63167254068068,-32314.07388759745,False
category_history,Both mens and womens,Mens E-Mail,2149,2181,0.009306654257794323,0.024300779458963778,0.014994125201169455,0.00012723179857521139,1.1801442531409958,3.005130674002751,1.824986420861755,0.007402846568264791,0.13444402981969797,0.0,target,1499.4125201169454,182498.6420861755,True
history_segment,4) $350 - $500,Mens E-Mail,2124,2097,0.011299435028248588,0.020028612303290415,0.008729177275041827,0.022277746698869283,1.0102683615819208,2.579208392942298,1.5689400313603774,0.009307654959671528,0.08920128027933366,2.469136006766348e-13,target,872.9177275041827,156894.00313603773,True
history_segment,"6) $750 - $1,000",Mens E-Mail,622,644,0.00482315112540193,0.024844720496894408,0.02002156937149248,0.0033987961928914068,0.3495337620578778,1.8836801242236023,1.5341463621657245,0.016231117525668328,0.06149767330390843,0.00490019493229088,target,2002.1569371492478,153414.63621657246,True
history_segment,5) $500 - $750,Womens E-Mail,1652,1662,0.005447941888619854,0.015643802647412757,0.010195860758792903,0.00409323102586634,0.5388559322033899,1.8245066185318892,1.2856506863284993,0.011759442489819742,0.066127772775879,5.284918924708393e-08,target,1019.5860758792903,128565.06863284993,True
