decile,n_treated,n_control,avg_uplift_score,obs_conversion_lift,obs_spend_lift,incr_conv_per_100k,incr_spend_per_100k
1,2138,2107,0.004208522540536971,0.0021665942248720576,0.31643321317910855,216.65942248720575,31643.321317910857
2,2106,2083,0.0050393613642974655,0.009470461142728707,0.9527948038637749,947.0461142728707,95279.48038637749
3,2179,2134,0.00535573722735349,0.005390983972854971,1.3249873139403001,539.0983972854972,132498.73139403
4,2124,2144,0.005587196513297285,0.005205259015656183,0.49823296125305677,520.5259015656184,49823.29612530568
5,2159,2164,0.005784985661295438,0.005101372494796745,0.2676872807719737,510.1372494796745,26768.728077197367
6,2109,2169,0.005987434004961248,0.0012499942615688403,0.38467431615935643,124.99942615688403,38467.431615935646
7,2110,2157,0.0062186773251516865,0.006243751744018703,0.5201205114176921,624.3751744018703,52012.05114176921
8,2065,2130,0.006604502421559648,0.011211904193522717,0.663420341256579,1121.1904193522716,66342.0341256579
9,2151,2086,0.007976686057912774,0.007743951062026938,1.0164692356963005,774.3951062026938,101646.92356963006
10,2166,2132,0.015000525727463975,0.014157480696903708,1.7096355105943983,1415.7480696903708,170963.55105943984
