segment,conversion,spend,uplift_score,p_treatment,p_control
Womens E-Mail,0,0.0,0.006121138015484293,0.010532650098095078,0.004411512082610786
No E-Mail,0,0.0,0.013318293972171436,0.018058571059536205,0.00474027708736477
Womens E-Mail,0,0.0,0.006016323334539672,0.008382680855123564,0.0023663575205838923
Mens E-Mail,0,0.0,0.008363956638890377,0.012437986873937518,0.004074030235047142
Womens E-Mail,0,0.0,0.005325869314702815,0.014034881212069335,0.00870901189736652
Womens E-Mail,0,0.0,0.005634177413328144,0.01180818908739347,0.006174011674065325
Womens E-Mail,0,0.0,0.005992614169478935,0.008157806177533162,0.0021651920080542277
Womens E-Mail,0,0.0,0.005734424501551436,0.00925386758804896,0.0035194430864975237
Mens E-Mail,0,0.0,0.014715945144892762,0.019355427834630415,0.004639482689737652
Womens E-Mail,0,0.0,0.005005387739754241,0.0062693648353939965,0.0012639770956397551
Womens E-Mail,0,0.0,0.007074199503664728,0.009912465339726537,0.002838265836061809
Womens E-Mail,0,0.0,0.006081050786239448,0.009869452840459307,0.003788402054219859
Womens E-Mail,0,0.0,0.007149867669826093,0.011361816962023492,0.0042119492921973995
Mens E-Mail,0,0.0,0.005462648228258581,0.01393862061542778,0.0084759723871692
No E-Mail,0,0.0,0.00558794436678502,0.009123966437184172,0.0035360220703991516
No E-Mail,0,0.0,0.006049454082022946,0.009071046903701642,0.0030215928216786965
Mens E-Mail,0,0.0,0.005241433940986055,0.011951999604174353,0.006710565663188298
Mens E-Mail,0,0.0,0.006193728193531093,0.012065873397386337,0.005872145203855244
Mens E-Mail,0,0.0,0.012640149328272902,0.01787004796901253,0.005229898640739628
Mens E-Mail,0,0.0,0.008182685710512807,0.013780180274238737,0.005597494563725929
No E-Mail,0,0.0,0.004871917938682456,0.006391199247762494,0.001519281309080037
Mens E-Mail,0,0.0,0.006276263820219626,0.010408121691808492,0.004131857871588865
Mens E-Mail,0,0.0,0.0047031967332805905,0.015565761876421568,0.010862565143140978
No E-Mail,0,0.0,0.005417492708132926,0.008220297418543954,0.0028028047104110285
No E-Mail,0,0.0,0.005465240530516398,0.013864232097087734,0.008398991566571336
Mens E-Mail,0,0.0,0.00597439057953976,0.008891724432215387,0.0029173338526756265
Mens E-Mail,0,0.0,0.005840726638216382,0.009006051865021278,0.0031653252268048957
Mens E-Mail,0,0.0,0.006132528709635399,0.012926151043739151,0.0067936223341037525
No E-Mail,0,0.0,0.007044747019671288,0.009732128502839475,0.0026873814831681873
No E-Mail,0,0.0,0.0037064163009966414,0.017418576109524065,0.013712159808527424
Womens E-Mail,0,0.0,0.004564686578075079,0.015147345269708954,0.010582658691633875
Mens E-Mail,0,0.0,0.00744337004476857,0.013014119828323447,0.005570749783554877
Mens E-Mail,0,0.0,0.006331483944154197,0.011998625261105502,0.005667141316951305
Mens E-Mail,0,0.0,0.005064354592276522,0.006722372858697285,0.001658018266420763
Womens E-Mail,0,0.0,0.004358470520945108,0.014617129687210037,0.010258659166264929
Womens E-Mail,0,0.0,0.005422273107661399,0.01220871622437607,0.0067864431167146706
Mens E-Mail,0,0.0,0.007550528322431484,0.014002518320724043,0.006451989998292559
Mens E-Mail,0,0.0,0.015635791505907937,0.021785555970420343,0.006149764464512405
Womens E-Mail,0,0.0,0.005152269930492236,0.006935257609087299,0.0017829876785950623
Mens E-Mail,0,0.0,0.007497311891600693,0.010896144681449667,0.0033988327898489745
Mens E-Mail,0,0.0,0.009798860256498248,0.011553749399119967,0.0017548891426217193
Mens E-Mail,0,0.0,0.004377145542707484,0.015414991299641662,0.011037845756934178
Womens E-Mail,0,0.0,0.006605899112984544,0.011743107677525238,0.0051372085645406945
No E-Mail,0,0.0,0.004258815018050019,0.019350467045775838,0.015091652027725819
No E-Mail,0,0.0,0.005040772692394788,0.01395988583278057,0.008919113140385782
No E-Mail,0,0.0,0.005743567932462943,0.009657506728204035,0.003913938795741092
No E-Mail,0,0.0,0.00469594161723718,0.01918400276544475,0.014488061148207571
Mens E-Mail,0,0.0,0.018097870894021977,0.028849535790702412,0.010751664896680434
